title	url_id	area	price	number_of_bedrooms	number_of_toilets	legal	lat	lon	district	province
Nhà biệt thự, liền kề tại Vinhomes Wonder City	pr42614924	96.0	16.8	5	3	1	21.096562274466994	105.71204689509746	Đan Phượng	Hà Nội
Nhà riêng tại đường Bồ Đề	pr41789075	80.0	13.2	3	3	2	21.0379724924051	105.871921608991	Long Biên	Hà Nội
Nhà riêng tại đường Yên Hòa	pr42566899	35.0	8.0	5	4	2	21.0232502264143	105.794804060888	Cầu Giấy	Hà Nội
Nhà riêng tại đường Nguyễn Chí Thanh	pr42522665	65.0	16.5	4	4	2	21.0210685056711	105.808493223334	Đống Đa	Hà Nội
Nhà biệt thự, liền kề tại Him Lam Thường Tín	pr42177890	80.0	11.0	6	6	2	20.8710734809205	105.862896065556	Thường Tín	Hà Nội
Shophouse, nhà phố thương mại tại Him Lam Thường Tín	pr41455530	81.0	15.0	5	6	2	20.8715607362953	105.862752231038	Thường Tín	Hà Nội
Nhà riêng tại đường Hồ Đắc Di	pr42657542	80.0	12.8	3	3	2	21.0120317980487	105.829219203335	Đống Đa	Hà Nội
Căn hộ chung cư tại Mulberry Lane	pr42620937	146.0	7.5	4	2	2	20.986585794806963	105.7856640972146	Hà Đông	Hà Nội
Nhà riêng tại đường Hoàng Quốc Việt	pr42654634	46.0	17.0	5	5	2	21.046267314581	105.799749577815	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Viha Complex	pr41825566	97.0	9.2	3	3	1	20.9975177172086	105.804383780412	Thanh Xuân	Hà Nội
Nhà riêng tại đường Nguyễn Văn Cừ	pr42648565	35.0	12.5	3	4	2	21.0466207052601	105.877737462159	Long Biên	Hà Nội
Nhà biệt thự, liền kề tại The Eden Rose	pr42487238	82.5	21.5	4	5	2	20.96695746342724	105.81392058429589	Thanh Trì	Hà Nội
Nhà riêng tại đường Định Công Thượng	pr42122413	41.0	9.35	4	5	2	20.9828556907307	105.821261091206	Hoàng Mai	Hà Nội
Nhà biệt thự, liền kề tại phố Nguyễn Khiêm Ích	pr42620688	90.0	18.2	5	5	2	21.0136238623344	105.939517187216	Gia Lâm	Hà Nội
Nhà riêng tại đường Hoàng Hoa Thám	pr42491247	35.0	7.5	4	5	2	21.0420966892547	105.817917979681	Ba Đình	Hà Nội
Nhà riêng tại đường Đức Giang	pr42636367	35.0	8.5	3	5	2	21.0667741109018	105.891593915149	Long Biên	Hà Nội
Căn hộ chung cư tại Chung cư Đông Đô	pr42601783	94.7	7.25	2	2	2	21.0499501418457	105.794929428449	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Iris Garden	pr41602447	135.0	7.6	3	2	2	21.0311622619629	105.760414123535	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Thụy Khuê	pr42608715	48.0	10.6	6	4	2	21.0426210118859	105.823921119266	Tây Hồ	Hà Nội
Nhà mặt phố tại đường Trần Đăng Ninh	pr34124071	42.0	14.0	8	5	2	21.0387557	105.7922448	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Lumi Hanoi	pr41905789	136.0	10.55	4	3	1	21.0117948134741	105.735632766765	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Ô Cách	pr42612298	65.0	12.0	3	4	2	21.0600959191157	105.895881457151	Long Biên	Hà Nội
Nhà riêng tại đường Nguyễn Trãi	pr42575365	58.0	12.0	6	6	2	20.9728686916288	105.779048277027	Hà Đông	Hà Nội
Nhà riêng tại đường Khuất Duy Tiến	pr42584204	40.0	15.5	4	4	2	20.9952079683355	105.800250660682	Thanh Xuân	Hà Nội
Nhà riêng tại phố Hào Nam	pr42587804	50.0	8.0	3	4	2	21.027314179655	105.827778334746	Đống Đa	Hà Nội
Căn hộ chung cư tại Khu đô thị Mỹ Đình II	pr41684244	142.0	8.2	3	2	-1	21.0315856933594	105.768203735352	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Sunshine Green Iconic	pr39959331	169.0	13.5	3	4	1	21.0407333374023	105.896560668945	Long Biên	Hà Nội
Nhà riêng tại đường Triều Khúc	pr42496920	50.0	14.0	5	6	2	20.9799524733521	105.80249454218	Thanh Trì	Hà Nội
Nhà riêng tại đường Hoàng Như Tiếp	pr42405284	50.0	9.1	4	4	2	21.0408433436199	105.877769329987	Long Biên	Hà Nội
Nhà riêng tại đường Phúc Lợi	pr41789866	117.0	19.0	6	5	-1	21.0388072186291	105.934620217152	Long Biên	Hà Nội
Nhà riêng tại phường Thịnh Liệt	pr42638174	70.0	17.8	6	6	2	20.9768093071434	105.847407838191	Hoàng Mai	Hà Nội
Căn hộ chung cư tại A10-A14 Nam Trung Yên	pr42316753	95.0	7.5	3	2	2	21.019292138136525	105.78781898027977	Cầu Giấy	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị Đại Kim	pr42303671	68.0	20.5	5	5	2	20.9725133882724	105.819882478659	Hoàng Mai	Hà Nội
Nhà riêng tại phố Trần Cung	pr42593970	85.0	17.0	6	5	2	21.0521132948133	105.788977399241	Bắc Từ Liêm	Hà Nội
Căn hộ chung cư tại N04B Ngoại Giao Đoàn	pr42575367	99.6	9.0	2	2	2	21.065461927910057	105.80150240096393	Bắc Từ Liêm	Hà Nội
Căn hộ chung cư tại Iris Garden	pr42475486	135.0	7.5	3	2	-1	21.0317805512488	105.760874220403	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Nguyễn Đình Hoàn	pr42503050	40.0	15.8	3	4	2	21.0429488435816	105.805067966484	Cầu Giấy	Hà Nội
Nhà riêng tại đường Đền Lừ	pr42376850	37.4	19.0	5	5	2	20.9849323099361	105.857868259932	Hoàng Mai	Hà Nội
Nhà riêng tại phố Nghĩa Dũng	pr42631781	43.0	8.8	4	4	2	21.0476583800261	105.847563497844	Ba Đình	Hà Nội
Căn hộ chung cư tại Sunshine Green Iconic	pr42602330	156.0	12.99	3	3	1	21.040780234182	105.895642894351	Long Biên	Hà Nội
Nhà riêng tại đường Ngọc Hà	pr42641757	58.0	15.49	5	5	2	21.0361022698592	105.831268885565	Ba Đình	Hà Nội
Nhà biệt thự, liền kề tại phường Thịnh Liệt	pr42624069	65.0	15.0	6	4	2	20.9770480046058	105.847117234431	Hoàng Mai	Hà Nội
Nhà riêng tại đường Nguyễn Văn Linh	pr42572171	50.0	11.6	4	4	2	21.0303577274462	105.914316912438	Long Biên	Hà Nội
Nhà riêng tại đường Tư Đình	pr42412337	86.0	14.5	1	1	2	21.0286785839772	105.883818452958	Long Biên	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới Tân Tây Đô	pr42617816	91.5	15.0	4	4	2	21.07437555021234	105.7004879836154	Đan Phượng	Hà Nội
Nhà riêng tại đường Nguyễn Khang	pr42645121	65.0	17.0	4	3	2	21.0273982212955	105.798263817835	Cầu Giấy	Hà Nội
Nhà riêng tại đường Nguyên Hồng	pr42642113	35.0	16.2	3	3	2	21.0159661528127	105.80962554928	Đống Đa	Hà Nội
Căn hộ chung cư tại Stellar Garden	pr38682281	100.0	7.0	3	2	1	20.9989471435547	105.804176330566	Thanh Xuân	Hà Nội
Nhà riêng tại đường Tô Hiệu	pr42363350	53.0	8.0	1	1	2	20.9665098182716	105.776573497107	Hà Đông	Hà Nội
Căn hộ chung cư tại N03-T1 Ngoại Giao Đoàn	pr40262777	96.6	8.3	3	2	2	21.0657653808594	105.798080444336	Bắc Từ Liêm	Hà Nội
Nhà riêng tại đường Nguyễn Văn Cừ	pr42373973	80.0	10.7	4	3	2	21.0438651326572	105.872356856801	Long Biên	Hà Nội
Nhà riêng tại đường Tô Vĩnh Diện	pr42541781	60.0	12.8	6	4	2	20.9996834868449	105.820895864678	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Golden Park Tower	pr40942577	95.0	8.8	3	2	2	21.0268173217773	105.787666320801	Cầu Giấy	Hà Nội
Nhà riêng tại phố Thái Thịnh	pr42582415	51.0	11.9	4	3	2	21.010438679133	105.818860209413	Đống Đa	Hà Nội
Nhà riêng tại đường Dương Quảng Hàm	pr41311958	161.0	20.0	2	1	2	21.0350272181189	105.799759879248	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Park Kiara	pr41141828	91.0	8.55	3	2	2	20.9673748016357	105.754013061523	Hà Đông	Hà Nội
