title	url_id	area	width	price	direction	number_of_bedrooms	number_of_toilets	furniture	legal	lat	lon	address	district	province
Nhà riêng tại đường Nguyễn Cao	pr40395331	40 m²	3,7 m	7 tỷ						21.0122306	105.8605157	Đường Nguyễn Cao, Phường Đồng Nhân, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Bán đất tại đường Nhạn	pr42641318	90 m²	4,5 m	7,7 tỷ					Sổ đỏ/ Sổ hồng	21.1910891839188	105.870843646894	Đường Nhạn, Xã Xuân Nộn, Đông Anh, Hà Nội	Đông Anh	Hà Nội
Nhà mặt phố tại đường Số 6	pr42652702	68 m²		13 tỷ					Sổ đỏ/ Sổ hồng	10.7456212373804	106.632221157245	Đường Số 6, Phường 11, Quận 6, Hồ Chí Minh	Quận 6	Hồ Chí Minh
Nhà riêng tại phố Lý Thường Kiệt	pr42415755	108 m²	9 m	7,8 tỷ		2 phòng	2 phòng		Sổ đỏ/ Sổ hồng.	10.8241855979608	106.685438371276	Đường  Lý Thường Kiệt, Phường 4, Gò Vấp, Hồ Chí Minh	Gò Vấp	Hồ Chí Minh
Nhà mặt phố tại đường Số 49	pr42610122	144 m²		21 tỷ	Bắc	2 phòng	2 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	10.741601275513	106.7155977907	Đường Số 49, Phường Tân Quy, Quận 7, Hồ Chí Minh	Quận 7	Hồ Chí Minh
Nhà mặt phố tại đường Nguyễn Chí Thanh	pr42262321	53 m²	3,6 m	22,4 tỷ		10 phòng	7 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	10.7600755727125	106.670136466283	Đường Nguyễn Chí Thanh, Phường 9, Quận 5, Hồ Chí Minh	Quận 5	Hồ Chí Minh
Nhà riêng tại đường Số 26	pr42374643	200 m²	8,6 m	14,5 tỷ					Sổ đỏ/ Sổ hồng	10.8322937687868	106.730834763765	Đường Số 26, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh	Thủ Đức	Hồ Chí Minh
Nhà riêng tại phố Hai Bà Trưng	pr41521305	85,23 m²	5,2 m	14 tỷ	Bắc			Không nội thất	Sổ đỏ/ Sổ hồng	11.7281618978741	108.357761924373	Phố Hai Bà Trưng, Thị trấn Liên Nghĩa, Đức Trọng, Lâm Đồng	Đức Trọng	Lâm Đồng
Nhà mặt phố tại phường 2	pr42578871	63 m²		17,2 tỷ					Sổ đỏ/ Sổ hồng	10.808249146078	106.666507802604	Phường 2, Tân Bình, Hồ Chí Minh	Tân Bình	Hồ Chí Minh
Nhà biệt thự, liền kề tại The Empire - Vinhomes Ocean Park 2	pr41581149	58,5 m²	4,5 m	7,9 tỷ	Đông - Bắc	6 phòng	5 phòng	Thô hoàn thiện mặt ngoài	Hợp đồng mua bán	20.942436	105.9553	The Empire - Vinhomes Ocean Park 2, Đường Sao Biển 8, Xã Long Hưng, Văn Giang, Hưng Yên	Văn Giang	Hưng Yên
Nhà biệt thự, liền kề tại Vinhomes Wonder City	pr42585355	121 m²	8 m	19,7 tỷ		5 phòng	5 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	21.096286764750104	105.7112442064844	Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội	Đan Phượng	Hà Nội
Căn hộ chung cư tại The Landmark 81 - Vinhomes Central Park	pr41237241	78 m²		11,5 tỷ	Đông - Nam	2 phòng	2 phòng		Hợp đồng mua bán	10.799132347106934	106.71966552734375	Dự án The Landmark 81, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh	Bình Thạnh	Hồ Chí Minh
