id	url	status	source_id	source_name	posted_date	due_date	updated_date
pr40395331	https://batdongsan.com.vn/nha-dat-ban/ban-nha-rieng-duong-nguyen-cao-phuong-dong-nhan/ban-tran-khat-chan-gan-40-m2-x-5-tang-x-3-7-m-mt-lo-goc-oto-do-cua-pr40395331	1	1	batdongsan.com.vn	2025-03-13	2025-04-12	2025-04-08
pr42641318	https://batdongsan.com.vn/nha-dat-ban/ban-dat-duong-nhan-xa-xuan-non/ban-tai-dong-anh-ha-noi-7-7-ty-90m2-pr42641318	1	1	batdongsan.com.vn	2025-04-05	2025-04-15	2025-04-08
pr42652702	https://batdongsan.com.vn/nha-dat-ban/ban-nha-mat-pho-duong-so-6-phuong-11-3/khan-cap-ban-mt-6-p11-q6-4x17-5-tang-5pn-5wc-hdt-18-trieu-thang-gia-chi-13-ty-pr42652702	1	1	batdongsan.com.vn	2025-04-06	2025-04-16	2025-04-08
pr42415755	https://batdongsan.com.vn/nha-dat-ban/ban-nha-rieng-pho-ly-thuong-kiet-phuong-4-18/giap-binh-thanh-dt-lon-108m2-be-ngang-9m-3tang-p4-gv-chi-7ty8-tl-pr42415755	1	1	batdongsan.com.vn	2025-04-02	2025-04-12	2025-04-08
pr42610122	https://batdongsan.com.vn/nha-dat-ban/ban-nha-mat-pho-duong-so-49-phuong-tan-quy/ban-nhiu-8x20m-9x20m-12x20m-gia-dau-tu-21ty-tien-quan-7-pr42610122	1	1	batdongsan.com.vn	2025-04-02	2025-04-12	2025-04-08
pr42262321	https://batdongsan.com.vn/nha-dat-ban/ban-nha-mat-pho-duong-nguyen-chi-thanh-phuong-9-6/ban-tien-p9-q5-ket-cau-5-tang-co-10-phong-pr42262321	1	1	batdongsan.com.vn	2025-03-31	2025-04-10	2025-04-08
pr42374643	https://batdongsan.com.vn/nha-dat-ban/ban-nha-rieng-duong-so-26-phuong-hiep-binh-chanh/hiem-co-day-tro-8-6x23m2-khu-ben-song-thu-duc-pr42374643	1	1	batdongsan.com.vn	2025-03-30	2025-04-09	2025-04-08
pr41521305	https://batdongsan.com.vn/nha-dat-ban/ban-nha-rieng-pho-hai-ba-trung-thi-tran-lien-nghia-1/n-duong-khu-cho-sam-uat-t-duc-trong-lam-dong-pr41521305	1	1	batdongsan.com.vn	2025-03-31	2025-04-30	2025-04-08
pr42578871	https://batdongsan.com.vn/nha-dat-ban/ban-nha-mat-pho-phuong-2-22/ban-tien-tien-xay-moi-7-tang-van-phong-spa-tham-my-chdv-63m2-4x16m-song-da-song-day-pr42578871	1	1	batdongsan.com.vn	2025-03-29	2025-04-28	2025-04-08
pr41581149	https://batdongsan.com.vn/nha-dat-ban/ban-nha-biet-thu-lien-ke-duong-sao-bien-8-xa-long-hung-prj-the-empire-vinhomes-ocean-park-2/chinh-chu-can-ban-8-58-5m2-gan-chung-cu-masteri-gia-7-9-ty-pr41581149	1	1	batdongsan.com.vn	2025-04-05	2025-04-15	2025-04-08
pr42585355	https://batdongsan.com.vn/nha-dat-ban/ban-nha-biet-thu-lien-ke-xa-tan-hoi-7-prj-vinhomes-wonder-city/ban-121m-mat-tien-8m-vi-tri-dac-dia-gan-cong-vien-vinschool-gia-chi-19-7-ty-pr42585355	1	1	batdongsan.com.vn	2025-03-31	2025-04-10	2025-04-08
pr41237241	https://batdongsan.com.vn/nha-dat-ban/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-the-landmark-81-vinhomes-central-park/ban-2-phong-ngu-81-78m2-gia-chi-10-5-ty-3pn-gia-15-ty-4pn-gia-26-ty-pr41237241	1	1	batdongsan.com.vn	2025-04-04	2025-04-14	2025-04-08
pr42625940	https://batdongsan.com.vn/nha-dat-ban/ban-nha-rieng-duong-tran-duy-hung-phuong-trung-hoa-4/ban-gap-tai-nga-ba-kinh-yen-kinh-doanh-dinh-55m-5tang-gia-14-ty-pr42625940	1	1	batdongsan.com.vn	2025-04-04	2025-04-14	2025-04-08
pr42624767	https://batdongsan.com.vn/nha-dat-ban/ban-dat-duong-nguyen-duy-trinh-phuong-binh-trung-tay/ban-lo-mat-quan-2-180m2-6-6x28-gia-26-6-ty-tl-pr42624767	1	1	batdongsan.com.vn	2025-04-03	2025-04-13	2025-04-08
pr42360112	https://batdongsan.com.vn/nha-dat-ban/ban-dat-duong-du-noi-xa-mai-lam/cuc-nong-can-ban-gap-lo-74m-dau-gia-kinh-doanh-gan-vin-co-loa-dan-cau-tu-lien-pr42360112	1	1	batdongsan.com.vn	2025-03-29	2025-04-08	2025-04-08
pr42582489	https://batdongsan.com.vn/nha-dat-ban/ban-nha-rieng-duong-le-van-luong-xa-nhon-duc/ban-1527-hem-xe-hoi-pr42582489	1	1	batdongsan.com.vn	2025-03-31	2025-04-10	2025-04-08
pr42592260	https://batdongsan.com.vn/nha-dat-ban/ban-nha-mat-pho-duong-to-hieu-phuong-ha-cau/ban-dong-via-he-kinh-doanh-thong-san-tien-khong-loi-pr42592260	1	1	batdongsan.com.vn	2025-03-31	2025-04-10	2025-04-08
pr42582162	https://batdongsan.com.vn/nha-dat-ban/ban-nha-mat-pho-duong-thoi-an-3-phuong-thoi-an-1/-tien-03-doi-dien-pesico-viet-nam-le-v-khuong-dt-4-3x15-25-tret-4-lau-xe-cong-pr42582162	1	1	batdongsan.com.vn	2025-03-30	2025-04-09	2025-04-08
pr41143980	https://batdongsan.com.vn/nha-dat-ban/ban-dat-xa-binh-ba/can-tien-xay-nha-n-nhanh-lo-chau-duc-brvt-pr41143980	1	1	batdongsan.com.vn	2025-03-12	2025-04-11	2025-04-08
pr42526685	https://batdongsan.com.vn/nha-dat-ban/ban-nha-rieng-duong-doi-can-phuong-lieu-giai/-102m2-4-tang-gia-23-9-ty-2-thoang-gara-oto-o-suong-pr42526685	1	1	batdongsan.com.vn	2025-04-01	2025-04-11	2025-04-08
pr42012821	https://batdongsan.com.vn/nha-dat-ban/ban-dat-nen-du-an-duong-so-13-phuong-phuoc-hai-prj-khu-do-thi-le-hong-phong-ii/ban-lo-goc-cuc-dep-13-p-2-nha-trang-pr42012821	1	1	batdongsan.com.vn	2025-04-02	2025-04-12	2025-04-08
pr42612225	https://batdongsan.com.vn/nha-dat-ban/ban-nha-rieng-duong-to-hien-thanh-phuong-12-5/ban-gap-pho-quan-10-4x20m-vuong-vuc-4-tang-gia-giam-han-2-ty-con-27-ty-tl-pr42612225	1	1	batdongsan.com.vn	2025-04-02	2025-04-12	2025-04-08
pr42168085	https://batdongsan.com.vn/nha-dat-ban/ban-dat-duong-vo-thi-sau-thi-tran-long-thanh-3/ban-tai-18-ty-546m2-view-dep-mat-tien-10m-chinh-chu-ban-pr42168085	1	1	batdongsan.com.vn	2025-04-05	2025-04-15	2025-04-08
pr40981745	https://batdongsan.com.vn/nha-dat-ban/ban-can-ho-chung-cu-duong-vo-nguyen-giap-phuong-an-phu-prj-lumiere-riverside/doc-quyen-cac-gia-tot-2pn-7-5t-co-may-lanh-day-du-lh-pr40981745	1	1	batdongsan.com.vn	2025-04-02	2025-04-09	2025-04-08
pr42596467	https://batdongsan.com.vn/nha-dat-ban/ban-can-ho-chung-cu-duong-xuan-dieu-phuong-quang-an-2-prj-d-le-roi-soleil/toi-ban-3-ngu-dleroi-146m-full-noi-that-san-sang-ve-o-17-8-ty-pr42596467	1	1	batdongsan.com.vn	2025-04-01	2025-04-11	2025-04-08
pr42625791	https://batdongsan.com.vn/nha-dat-ban/ban-nha-mat-pho-duong-so-54-phuong-10-4/view-ty-do-doi-dien-cong-vien-ho-ban-54-p10-q6-4x17-tret-3-lau-gia-chi-11-ty-tl-pr42625791	1	1	batdongsan.com.vn	2025-04-03	2025-04-13	2025-04-08
pr42408437	https://batdongsan.com.vn/nha-dat-ban/ban-nha-biet-thu-lien-ke-duong-nguyen-thi-phuong-hoa-cuong-nam-prj-elysia-complex-city/khu-vip-song-han-gia-7-5-ty-co-ho-tro-vay-pr42408437	1	1	batdongsan.com.vn	2025-03-12	2025-04-11	2025-04-08
