[2025-04-24T06:05:05.551+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-24T06:05:05.569+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nhatot_scraping.scrape_data manual__2025-04-24T06:04:33.752335+00:00 [queued]>
[2025-04-24T06:05:05.577+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nhatot_scraping.scrape_data manual__2025-04-24T06:04:33.752335+00:00 [queued]>
[2025-04-24T06:05:05.577+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2025-04-24T06:05:05.590+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): scrape_data> on 2025-04-24 06:04:33.752335+00:00
[2025-04-24T06:05:05.599+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'nhatot_scraping', 'scrape_data', 'manual__2025-04-24T06:04:33.752335+00:00', '--job-id', '5', '--raw', '--subdir', 'DAGS_FOLDER/nhatot_scraping_dag.py', '--cfg-path', '/tmp/tmpx6r0p1l6']
[2025-04-24T06:05:05.601+0000] {standard_task_runner.py:105} INFO - Job 5: Subtask scrape_data
[2025-04-24T06:05:05.601+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=236) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-04-24T06:05:05.602+0000] {standard_task_runner.py:72} INFO - Started process 238 to run task
[2025-04-24T06:05:05.642+0000] {task_command.py:467} INFO - Running <TaskInstance: nhatot_scraping.scrape_data manual__2025-04-24T06:04:33.752335+00:00 [running]> on host ddc209ddd338
[2025-04-24T06:05:05.709+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='nhatot_scraping' AIRFLOW_CTX_TASK_ID='scrape_data' AIRFLOW_CTX_EXECUTION_DATE='2025-04-24T06:04:33.752335+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-04-24T06:04:33.752335+00:00'
[2025-04-24T06:05:05.711+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-04-24T06:05:05.733+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/101047458.htm
[2025-04-24T06:05:15.004+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/105751152.htm
[2025-04-24T06:05:23.512+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/106622088.htm
[2025-04-24T06:05:31.271+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/107475111.htm
[2025-04-24T06:05:37.975+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/108791346.htm
[2025-04-24T06:05:46.130+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/109374376.htm
[2025-04-24T06:05:53.660+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/110126443.htm
[2025-04-24T06:06:01.510+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/111191900.htm
[2025-04-24T06:06:11.140+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/111195533.htm
[2025-04-24T06:06:18.628+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/111253206.htm
[2025-04-24T06:06:28.306+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/111405618.htm
[2025-04-24T06:06:35.203+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/111905099.htm
[2025-04-24T06:06:43.074+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/112102337.htm
[2025-04-24T06:06:52.375+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/112303173.htm
[2025-04-24T06:07:01.151+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/112559810.htm
