[2025-04-25T00:03:49.140+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-04-25T00:03:49.157+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: nhatot_scraping.scrape_data scheduled__2025-04-24T00:00:00+00:00 [queued]>
[2025-04-25T00:03:49.169+0000] {taskinstance.py:2614} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: nhatot_scraping.scrape_data scheduled__2025-04-24T00:00:00+00:00 [queued]>
[2025-04-25T00:03:49.170+0000] {taskinstance.py:2867} INFO - Starting attempt 1 of 2
[2025-04-25T00:03:49.189+0000] {taskinstance.py:2890} INFO - Executing <Task(PythonOperator): scrape_data> on 2025-04-24 00:00:00+00:00
[2025-04-25T00:03:49.200+0000] {logging_mixin.py:190} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70 DeprecationWarning: This process (pid=76444) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-04-25T00:03:49.198+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'nhatot_scraping', 'scrape_data', 'scheduled__2025-04-24T00:00:00+00:00', '--job-id', '8', '--raw', '--subdir', 'DAGS_FOLDER/nhatot_scraping_dag.py', '--cfg-path', '/tmp/tmpyz76o6no']
[2025-04-25T00:03:49.201+0000] {standard_task_runner.py:72} INFO - Started process 76489 to run task
[2025-04-25T00:03:49.201+0000] {standard_task_runner.py:105} INFO - Job 8: Subtask scrape_data
[2025-04-25T00:03:49.244+0000] {task_command.py:467} INFO - Running <TaskInstance: nhatot_scraping.scrape_data scheduled__2025-04-24T00:00:00+00:00 [running]> on host ddc209ddd338
[2025-04-25T00:03:49.312+0000] {taskinstance.py:3134} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='nhatot_scraping' AIRFLOW_CTX_TASK_ID='scrape_data' AIRFLOW_CTX_EXECUTION_DATE='2025-04-24T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-04-24T00:00:00+00:00'
[2025-04-25T00:03:49.313+0000] {taskinstance.py:732} INFO - ::endgroup::
[2025-04-25T00:03:49.356+0000] {ScraperNhatot.py:280} INFO - [Skipped] Already crawled: https://www.nhatot.com/mua-ban-bat-dong-san/101047458.htm
[2025-04-25T00:03:49.357+0000] {logging_mixin.py:190} INFO - [Scraping] https://www.nhatot.com/mua-ban-bat-dong-san/105632120.htm
[2025-04-25T00:03:55.699+0000] {ScraperNhatot.py:280} INFO - [Skipped] Already crawled: https://www.nhatot.com/mua-ban-bat-dong-san/105751152.htm
[2025-04-25T00:03:55.700+0000] {ScraperNhatot.py:280} INFO - [Skipped] Already crawled: https://www.nhatot.com/mua-ban-bat-dong-san/106622088.htm
[2025-04-25T00:03:55.700+0000] {ScraperNhatot.py:280} INFO - [Skipped] Already crawled: https://www.nhatot.com/mua-ban-bat-dong-san/106702460.htm
[2025-04-25T00:03:55.701+0000] {ScraperNhatot.py:280} INFO - [Skipped] Already crawled: https://www.nhatot.com/mua-ban-bat-dong-san/107475111.htm
[2025-04-25T00:03:55.701+0000] {ScraperNhatot.py:280} INFO - [Skipped] Already crawled: https://www.nhatot.com/mua-ban-bat-dong-san/108791346.htm
[2025-04-25T00:03:55.701+0000] {ScraperNhatot.py:280} INFO - [Skipped] Already crawled: https://www.nhatot.com/mua-ban-bat-dong-san/109374376.htm
[2025-04-25T00:03:55.701+0000] {ScraperNhatot.py:280} INFO - [Skipped] Already crawled: https://www.nhatot.com/mua-ban-bat-dong-san/110126443.htm
[2025-04-25T00:03:55.702+0000] {ScraperNhatot.py:280} INFO - [Skipped] Already crawled: https://www.nhatot.com/mua-ban-bat-dong-san/111191900.htm
[2025-04-25T00:03:55.702+0000] {ScraperNhatot.py:280} INFO - [Skipped] Already crawled: https://www.nhatot.com/mua-ban-bat-dong-san/111195533.htm
[2025-04-25T00:03:55.702+0000] {ScraperNhatot.py:280} INFO - [Skipped] Already crawled: https://www.nhatot.com/mua-ban-bat-dong-san/111253206.htm
[2025-04-25T00:03:55.702+0000] {ScraperNhatot.py:280} INFO - [Skipped] Already crawled: https://www.nhatot.com/mua-ban-bat-dong-san/111405618.htm
[2025-04-25T00:03:55.703+0000] {ScraperNhatot.py:280} INFO - [Skipped] Already crawled: https://www.nhatot.com/mua-ban-bat-dong-san/111905099.htm
[2025-04-25T00:03:55.703+0000] {ScraperNhatot.py:280} INFO - [Skipped] Already crawled: https://www.nhatot.com/mua-ban-bat-dong-san/112102337.htm
[2025-04-25T00:03:55.703+0000] {ScraperNhatot.py:280} INFO - [Skipped] Already crawled: https://www.nhatot.com/mua-ban-bat-dong-san/112303173.htm
[2025-04-25T00:03:55.703+0000] {ScraperNhatot.py:280} INFO - [Skipped] Already crawled: https://www.nhatot.com/mua-ban-bat-dong-san/112559810.htm
[2025-04-25T00:03:55.704+0000] {ScraperNhatot.py:280} INFO - [Skipped] Already crawled: https://www.nhatot.com/mua-ban-bat-dong-san/112740925.htm
[2025-04-25T00:03:55.704+0000] {ScraperNhatot.py:280} INFO - [Skipped] Already crawled: https://www.nhatot.com/mua-ban-bat-dong-san/113068468.htm
[2025-04-25T00:03:55.704+0000] {ScraperNhatot.py:280} INFO - [Skipped] Already crawled: https://www.nhatot.com/mua-ban-bat-dong-san/113174912.htm
